name,state,iata_code,lat,long
Hoonah Airport,AK,HNH,58.0961,-135.4101
Nome Airport,AK,OME,64.5122,-165.445
Toksook Bay Airport,AK,OOK,60.5414,-165.087
Northway Airport,AK,ORT,62.9613,-141.929
Ralph Wien Memorial Airport,AK,OTZ,66.8847,-162.599
Nelson Lagoon Airport,AK,NLG,56.0075,-161.16
St George Airport,AK,STG,56.5783,-169.662
Port Clarence Coast Guard Station,AK,KPC,65.2537,-166.859
Perryville Airport,AK,KPV,55.906,-159.163
Petersburg James A Johnson Airport,AK,PSG,56.8017,-132.945
Port Heiden Airport,AK,PTH,56.9591,-158.633
Napaskiak Airport,AK,PKA,60.7029,-161.778
Platinum Airport,AK,PTU,59.0114,-161.82
Pilot Point Airport,AK,PIP,57.5804,-157.572
Point Hope Airport,AK,PHO,68.3488,-166.799
Prospect Creek Airport,AK,PPC,66.8141,-150.644
Quinhagak Airport,AK,KWN,59.7551,-161.845
Nuiqsut Airport,AK,NUI,70.21,-151.006
Arctic Village Airport,AK,ARC,68.1147,-145.579
Russian Mission Airport,AK,RSH,61.7789,-161.3195
Ruby Airport,AK,RBY,64.7272,-155.47
Savoonga Airport,AK,SVA,63.6864,-170.493
Deadhorse Airport,AK,SCC,70.1947,-148.465
Sand Point Airport,AK,SDP,55.315,-160.523
Shishmaref Airport,AK,SHH,66.2496,-166.0891
Sitka Rocky Gutierrez Airport,AK,SIT,57.0471,-135.362
Selawik Airport,AK,WLK,66.6001,-159.986
Sleetmute Airport,AK,SLQ,61.7005,-157.166
St Mary's Airport,AK,KSM,62.0605,-163.302
St Paul Island Airport,AK,SNP,57.1673,-170.22
Seldovia Airport,AK,SOV,59.4424,-151.704
Sheep Mountain Airport,AK,SMU,61.812,-147.507
Summit Airport,AK,UMM,63.3315,-149.127
Sparrevohn LRRS Airport,AK,SVW,61.0974,-155.574
Skwentna Airport,AK,SKW,61.9653,-151.191
Soldotna Airport,AK,SXQ,60.4757,-151.034
Eareckson Air Station,AK,SYA,52.7123,174.114
Ralph M Calhoun Memorial Airport,AK,TAL,65.1744,-152.109
Tin City Long Range Radar Station Airport,AK,TNC,65.5631,-167.922
Teller Airport,AK,TLA,65.2404,-166.339
Togiak Airport,AK,TOG,59.0528,-160.397
Talkeetna Airport,AK,TKA,62.3205,-150.094
Tatalina LRRS Airport,AK,TLJ,62.8944,-155.977
Atqasuk Edward Burnell Sr Memorial Airport,AK,ATK,70.467,-157.436
Alakanuk Airport,AK,AUK,62.68,-164.6599
Umiat Airport,AK,UMT,69.3711,-152.136
Unalakleet Airport,AK,UNK,63.8884,-160.799
Willow Airport,AK,WOW,61.7542,-150.052
Chevak Airport,AK,VAK,61.5409,-165.6005
King Cove Airport,AK,KVC,55.1163,-162.266
Valdez Pioneer Field,AK,VDZ,61.1339,-146.248
Venetie Airport,AK,VEE,67.0087,-146.366
Kivalina Airport,AK,KVL,67.7362,-164.563
Beaver Airport,AK,WBQ,66.3622,-147.407
Seward Airport,AK,SWD,60.1269,-149.419
Wrangell Airport,AK,WRG,56.4843,-132.37
Wainwright Airport,AK,AIN,70.638,-159.995
White Mountain Airport,AK,WMO,64.6892,-163.413
Noatak Airport,AK,WTK,67.5661,-162.975
Wasilla Airport,AK,WWA,61.5717,-149.54
Yakutat Airport,AK,YAK,59.5033,-139.66
Pelican Seaplane Base,AK,PEC,57.9552,-136.236
Akiak Airport,AK,AKI,60.9029,-161.231
Allakaket Airport,AK,AET,66.5518,-152.622
Pacific City State Airport,OR,PFC,45.1998,-123.962
Chenega Bay Airport,AK,NCN,60.0773,-147.992
Clarks Point Airport,AK,CLP,58.8337,-158.529
Elim Airport,AK,ELI,64.6147,-162.272
Kasigluk Airport,AK,KUK,60.8744,-162.524
Kokhanok Airport,AK,KNK,59.4332,-154.804
Kotlik Airport,AK,KOT,63.0306,-163.533
Brevig Mission Airport,AK,KTS,65.3313,-166.466
Koyukuk Airport,AK,KYU,64.8761,-157.727
Kwethluk Airport,AK,KWT,60.7903,-161.444
Robert (Bob) Curtis Memorial Airport,AK,ORV,66.8179,-161.019
Shaktoolik Airport,AK,SKK,64.3711,-161.224
Tok Junction Airport,AK,TKJ,63.3295,-142.954
South Naknek Nr 2 Airport,AK,WSN,58.7034,-157.008
Fort Yukon Airport,AK,FYU,66.5715,-145.25
Port Graham Airport,AK,PGM,59.3483,-151.832
Barking Sands Airport,HI,BKH,22.0228,-159.785
Dillingham Airfield,HI,HDH,21.5795,-158.197
Wheeler Army Airfield,HI,HHI,21.4835,-158.04
Hana Airport,HI,HNM,20.7956,-156.014
Kapalua Airport,HI,JHM,20.9629,-156.673
Kalaeloa Airport,HI,JRF,21.3074,-158.07
Ellison Onizuka Kona International At Keahole Airport,HI,KOA,19.7388,-156.0456
Kaanapali Airport,HI,HKP,20.945,-156.69
Lihue Airport,HI,LIH,21.976,-159.339
Kalaupapa Airport,HI,LUP,21.211,-156.974
Molokai Airport,HI,MKK,21.1529,-157.096
Waimea Kohala Airport,HI,MUE,20.0013,-155.668
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,HI,NGF,21.4505,-157.768
Daniel K Inouye International Airport,HI,HNL,21.3206,-157.9242
Lanai Airport,HI,LNY,20.7856,-156.951
Kahului Airport,HI,OGG,20.8986,-156.43
Port Allen Airport,HI,PAK,21.8969,-159.603
Bradshaw Army Airfield,HI,BSF,19.7601,-155.554
Hilo International Airport,HI,ITO,19.7214,-155.048
Upolu Airport,HI,UPP,20.2653,-155.86
Point Lay LRRS Airport,AK,PIZ,69.7329,-163.005
Port Walter Seaplane Base,AK,PWR,56.381,-134.651
Perry Island Seaplane Base,AK,PYL,60.6853,-147.919
Red Devil Airport,AK,RDV,61.7881,-157.35
Rehoboth Airport,DE,REH,38.72,-75.122
Rampart Airport,AK,RMP,65.5079,-150.141
Quartz Hill Airport,CA,RZH,34.65,-118.206
Lopez Island Airport,WA,LPS,48.4839,-122.938
Kenmore Air Harbor Inc Seaplane Base,WA,KEH,47.7548,-122.259
Salton Sea Airport,CA,SAS,33.2414,-115.952
Scranton Municipal Airport.,PA,SCR,41.4802,-75.772
San Fernando Airport,CA,SFR,34.289,-118.422
Sitkinak Airport,AK,SKJ,56.5378,-154.1412
Hamilton Field,CA,SRF,38.06,-122.51
Santa Cruz Sky Park,CA,SRU,37.0503,-122.0315
Stony River 2 Airport,AK,SRV,61.7897,-156.589
Greenbrier Airport,WV,SSU,37.775,-80.336
Stevens Village Airport,AK,SVS,66.0172,-149.0545
Nunam Iqua Airport,AK,SXP,62.5206,-164.848
Seal Bay Seaplane Base,AK,SYB,58.3733,-152.2018
Roberts Army Heliport,CA,SYL,35.815,-120.744
Stanton Airfield,MN,SYN,44.4755,-93.0163
Santa Cruz Island Airport,CA,SZN,34.0602,-119.9153
Santa Paula Airport,CA,SZP,34.3472,-119.061
Takotna Airport,AK,TCT,62.9932,-156.029
Tenakee Seaplane Base,AK,TKE,57.7797,-135.218
Taku Lodge Seaplane Base,AK,TKL,58.4897,-133.943
Tuluksak Airport,AK,TLT,61.0968,-160.969
Port Alsworth Airport,AK,PTA,60.2017,-154.3259
Tanacross Airport,AK,TSG,63.3744,-143.336
Two Harbors Amphibious Terminal,CA,TWH,33.4322,-118.5086
Tyonek Airport,AK,TYE,61.0767,-151.138
Dubois Municipal Airport,ID,DBS,44.1666,-112.226
Ugashik Bay Airport,AK,UGB,57.4254,-157.74
Havasu Airpark,AZ,LHU,34.4573,-114.3641
Amchitka Army Airfield,AK,AHT,51.3778,179.2592
Cape Air Seaplanes on Boston Harbor Seaplane Base,MA,BNH,42.3525,-71.0258
Williston Basin International Airport,ND,XWA,48.2584,-103.7488
Spirit Lake Municipal Airport,IA,RTL,43.3875,-95.1392
Grumman Bethpage Airport,NY,BPA,40.7494,-73.496
Monument Valley Airport,UT,GMV,37.0167,-110.201
Friday Harbor Seaplane Base,WA,FBS,48.5373,-123.01
Rosario Seaplane Base,WA,RSJ,48.6457,-122.868
Kenmore Air Harbor Seaplane Base,WA,LKE,47.629,-122.339
Roche Harbor Airport,WA,RCE,48.6123,-123.139
Westsound/Wsx Seaplane Base,WA,WSX,48.6179,-122.953
Stebbins Airport,AK,WBB,63.516,-162.278
Parker County Airport,TX,WEA,32.7463,-97.6824
Berkley Municipal Heliport,CA,JBK,37.8666,-122.3065
Decatur Shores Airport,WA,DTR,48.4998,-122.814
